bigscale\baseline+6\1	179	22	135.198
bigscale\baseline+6\2	179	22	134.994
bigscale\baseline+6\3	179	22	135.291
bigscale\baseline+6\4	179	22	131.818
bigscale\baseline+6\5	179	22	134.504
bigscale\baseline+6\6	179	22	134.069
bigscale\baseline+6\7	179	22	134.079
bigscale\baseline+6\8	179	22	135.75
bigscale\baseline+6\9	179	22	131.948
bigscale\baseline+6\10	179	22	135.252
bigscale\baseline+6\11	179	22	133.12
bigscale\baseline+6\12	179	22	135.883
bigscale\baseline+6\13	179	22	134.397
bigscale\baseline+6\14	179	22	132.98
bigscale\baseline+6\15	179	22	134.347
bigscale\baseline+7\1	199	25	149.433
bigscale\baseline+7\2	199	25	147.958
bigscale\baseline+7\3	199	25	148.462
bigscale\baseline+7\4	199	25	148.497
bigscale\baseline+7\5	199	25	149.379
bigscale\baseline+7\6	199	25	149.407
bigscale\baseline+7\7	199	25	148.833
bigscale\baseline+7\8	199	25	147.85
bigscale\baseline+7\9	199	25	149.481
bigscale\baseline+7\10	199	25	148.2
bigscale\baseline+7\11	199	25	147.038
bigscale\baseline+7\12	199	25	154.1
bigscale\baseline+7\13	199	25	148.856
bigscale\baseline+7\14	199	25	147.845
bigscale\baseline+7\15	199	25	147.222
bigscale\baseline+8\1	229	29	171.201
bigscale\baseline+8\2	229	29	169.788
bigscale\baseline+8\3	229	29	168.996
bigscale\baseline+8\4	229	29	169.429
bigscale\baseline+8\5	229	29	171.512
bigscale\baseline+8\6	229	29	171.584
bigscale\baseline+8\7	229	29	175.184
bigscale\baseline+8\8	229	29	168.942
bigscale\baseline+8\9	229	29	170.044
bigscale\baseline+8\10	229	29	174.793
bigscale\baseline+8\11	229	29	170.518
bigscale\baseline+8\12	229	29	172.789
bigscale\baseline+8\13	229	29	170.276
bigscale\baseline+8\14	229	29	167.491
bigscale\baseline+8\15	229	29	169.705
bigscale\baseline+9\1	249	31	188.192
bigscale\baseline+9\2	249	31	184.88
bigscale\baseline+9\3	249	31	185.442
bigscale\baseline+9\4	249	31	184.115
bigscale\baseline+9\5	249	31	186.27
bigscale\baseline+9\6	249	31	185.076
bigscale\baseline+9\7	249	31	183.497
bigscale\baseline+9\8	249	31	185.719
bigscale\baseline+9\9	249	31	185.712
bigscale\baseline+9\10	249	31	188.932
bigscale\baseline+9\11	249	31	188.087
bigscale\baseline+9\12	249	31	184.209
bigscale\baseline+9\13	249	31	184.411
bigscale\baseline+9\14	249	31	186.806
