.\datafile\bigscale\baseline+8\1	229	29	171.201	28.625	10.864	0.964784	0.956929	0.977511	0.963492
.\datafile\bigscale\baseline+8\2	229	29	169.788	28.625	10.621	0.964839	0.960037	0.976003	0.965097
.\datafile\bigscale\baseline+8\3	229	29	168.996	28.625	10.745	0.959388	0.960897	0.972036	0.962501
.\datafile\bigscale\baseline+8\4	229	29	169.429	28.625	10.615	0.954756	0.964321	0.977379	0.963692
.\datafile\bigscale\baseline+8\5	229	29	171.512	28.625	10.754	0.955822	0.958195	0.976986	0.961484
.\datafile\bigscale\baseline+8\6	229	29	171.584	28.625	10.777	0.955367	0.964934	0.971351	0.962751
.\datafile\bigscale\baseline+8\7	229	29	175.184	28.625	10.884	0.96333	0.961526	0.975882	0.965422
.\datafile\bigscale\baseline+8\8	229	29	168.942	28.625	10.783	0.962518	0.962893	0.971804	0.964531
.\datafile\bigscale\baseline+8\9	229	29	170.044	28.625	10.616	0.962146	0.966152	0.972577	0.965799
.\datafile\bigscale\baseline+8\10	229	29	174.793	28.625	10.757	0.961266	0.968165	0.976091	0.967396
.\datafile\bigscale\baseline+8\11	229	29	170.518	28.625	10.63	0.956856	0.961087	0.974203	0.961902
.\datafile\bigscale\baseline+8\12	229	29	172.789	28.625	10.818	0.964388	0.957343	0.979672	0.963797
.\datafile\bigscale\baseline+8\13	229	29	170.276	28.625	10.74	0.96301	0.967311	0.976693	0.96775
.\datafile\bigscale\baseline+8\14	229	29	167.491	28.625	10.708	0.963273	0.965839	0.97168	0.965734
.\datafile\bigscale\baseline+8\15	229	29	169.705	28.625	10.658	0.961884	0.961891	0.978305	0.965342
.\datafile\bigscale\baseline+9\1	249	31	188.192	31.125	11.768	0.957332	0.964648	0.983213	0.966115
.\datafile\bigscale\baseline+9\2	249	31	184.88	31.125	11.677	0.95985	0.960865	0.974449	0.963632
.\datafile\bigscale\baseline+9\3	249	31	185.442	31.125	11.764	0.957311	0.966085	0.972366	0.96361
.\datafile\bigscale\baseline+9\4	249	31	184.115	31.125	11.54	0.964719	0.956169	0.982106	0.964474
.\datafile\bigscale\baseline+9\5	249	31	186.27	31.125	11.647	0.958477	0.967706	0.97487	0.965263
.\datafile\bigscale\baseline+9\6	249	31	185.076	31.125	11.591	0.957411	0.960038	0.970856	0.961331
.\datafile\bigscale\baseline+9\7	249	31	183.497	31.125	11.579	0.96202	0.959165	0.97429	0.962887
.\datafile\bigscale\baseline+9\8	249	31	185.719	31.125	11.606	0.960563	0.956413	0.97693	0.962066
.\datafile\bigscale\baseline+9\9	249	31	185.712	31.125	11.668	0.953455	0.965532	0.968587	0.961355
.\datafile\bigscale\baseline+9\10	249	31	188.932	31.125	11.748	0.958935	0.962755	0.977046	0.964075
.\datafile\bigscale\baseline+9\11	249	31	188.087	31.125	11.803	0.957251	0.959544	0.976549	0.962852
.\datafile\bigscale\baseline+9\12	249	31	184.209	31.125	11.568	0.956581	0.963083	0.976828	0.963161
.\datafile\bigscale\baseline+9\13	249	31	184.411	31.125	11.613	0.962734	0.962273	0.976735	0.965003
.\datafile\bigscale\baseline+9\14	249	31	186.806	31.125	11.783	0.96587	0.961229	0.971506	0.964787
.\datafile\bigscale\baseline+9\15	249	31	182.685	31.125	11.478	0.965416	0.960895	0.980309	0.96614
.\datafile\bigscale\baseline+10\1	279	35	204.498	34.875	12.811	0.953124	0.964326	0.976607	0.962332
.\datafile\bigscale\baseline+10\2	279	35	206.277	34.875	13.024	0.961703	0.96087	0.975323	0.964001
.\datafile\bigscale\baseline+10\3	279	35	208.424	34.875	13.14	0.954395	0.961815	0.97518	0.961704
.\datafile\bigscale\baseline+10\4	279	35	208.204	34.875	13.2	0.958055	0.963683	0.97387	0.963853
.\datafile\bigscale\baseline+10\5	279	35	206.036	34.875	12.988	0.959473	0.965156	0.972142	0.964215
.\datafile\bigscale\baseline+10\6	279	35	205.925	34.875	13.039	0.959606	0.961951	0.974352	0.963836
.\datafile\bigscale\baseline+10\7	279	35	205.802	34.875	12.963	0.962645	0.960662	0.978145	0.964739
.\datafile\bigscale\baseline+10\8	279	35	207.879	34.875	13.114	0.957144	0.963501	0.977856	0.964313
.\datafile\bigscale\baseline+10\9	279	35	208.531	34.875	13.066	0.959441	0.949621	0.974853	0.95892
.\datafile\bigscale\baseline+10\10	279	35	209.687	34.875	13.154	0.954125	0.961968	0.972876	0.961317
.\datafile\bigscale\baseline+10\11	279	35	204.995	34.875	13.003	0.964223	0.962717	0.979619	0.966375
.\datafile\bigscale\baseline+10\12	279	35	210.793	34.875	13.122	0.965003	0.962288	0.972676	0.965474
.\datafile\bigscale\baseline+10\13	279	35	205.414	34.875	13.043	0.95809	0.963251	0.978534	0.964924
.\datafile\bigscale\baseline+10\14	279	35	208.217	34.875	13.148	0.956673	0.967959	0.969802	0.963851
.\datafile\bigscale\baseline+10\15	279	35	207.974	34.875	13.177	0.964618	0.967085	0.976862	0.967973
.\datafile\bigscale\baseline+11\1	299	37	221.514	37.375	14.032	0.953139	0.965537	0.971421	0.961957
.\datafile\bigscale\baseline+11\2	299	37	221.726	37.375	14.003	0.959689	0.95989	0.973596	0.962951
.\datafile\bigscale\baseline+11\3	299	37	217.23	37.375	13.778	0.956724	0.962794	0.979782	0.9645
.\datafile\bigscale\baseline+11\4	299	37	221.975	37.375	14.018	0.955678	0.967027	0.97738	0.964816
.\datafile\bigscale\baseline+11\5	299	37	220.704	37.375	13.988	0.959166	0.964013	0.973666	0.964126
.\datafile\bigscale\baseline+11\6	299	37	222.022	37.375	13.941	0.95972	0.957999	0.977993	0.963203
.\datafile\bigscale\baseline+11\7	299	37	226.174	37.375	13.925	0.955282	0.958913	0.978337	0.961758
.\datafile\bigscale\baseline+11\8	299	37	222.356	37.375	14.169	0.965385	0.969433	0.973253	0.968585
.\datafile\bigscale\baseline+11\9	299	37	220.829	37.375	13.969	0.955828	0.961875	0.971595	0.961575
.\datafile\bigscale\baseline+11\10	299	37	221.384	37.375	13.95	0.962676	0.968791	0.974218	0.967529
.\datafile\bigscale\baseline+11\11	299	37	220.685	37.375	13.951	0.964405	0.957298	0.977833	0.964392
.\datafile\bigscale\baseline+11\12	299	37	225.029	37.375	14.1	0.96209	0.966817	0.973153	0.966064
.\datafile\bigscale\baseline+11\13	299	37	223.48	37.375	13.982	0.957194	0.962068	0.977097	0.963367
